# EDGA-QED: state=0 mode=genetic completeness=0.9915803236 n_det=17030 gen=2 n_ph_max=10
  -0.018025759043973    0  1234413421  |1 3 4 7 8  |2 3 4 6 7 
  -0.018025733916976    0  1324412431  |2 3 4 6 7  |1 3 4 7 8 
   0.018025732617244    0  1442331412  |1 2 3 7 9  |1 2 4 5 7 
   0.018025709916138    0  1443221413  |1 2 4 5 7  |1 2 3 7 9 
   0.017989068585749    0  3444231112  |1 2 3 4 9  |0 1 2 3 5 
   0.017989043086109    0  2344413121  |0 2 3 4 8  |1 2 3 4 6 
   0.017987697840412    0  3244412131  |1 2 3 4 6  |0 2 3 4 8 
   0.017987565465932    0  2444321113  |0 1 2 3 5  |1 2 3 4 9 
  -0.017962170612012    0  4342423111  |0 2 3 4 5  |0 1 2 4 6 
   0.017962163906404    0  4434211132  |0 1 3 4 9  |0 1 2 3 8 
  -0.017960123419015    0  4243432111  |0 1 2 4 6  |0 2 3 4 5 
   0.017960070876958    0  4424311123  |0 1 2 3 8  |0 1 3 4 9 
   0.017793587739700    0  4432121134  |0 1 3 5 9  |0 1 2 8 9 
   0.017793421681107    0  4132424131  |0 3 4 5 6  |0 2 4 6 8 
   0.017791995702492    0  4423131124  |0 1 2 8 9  |0 1 3 5 9 
   0.017791942531978    0  4123434121  |0 2 4 6 8  |0 3 4 5 6 
  -0.017273707940249    0  3444221311  |1 2 3 4 5  |0 1 2 3 7 
  -0.017273619953586    0  2344411231  |0 2 3 4 7  |1 2 3 4 8 
  -0.017272452120012    0  3244411321  |1 2 3 4 8  |0 2 3 4 7 
  -0.017272385382317    0  2444331211  |0 1 2 3 7  |1 2 3 4 5 
  -0.017160868618981    0  2344113214  |0 2 3 7 9  |1 2 3 6 9 
   0.017160846214721    0  3144214312  |2 3 4 6 9  |0 2 3 6 7 
  -0.017159551019891    0  3244112314  |1 2 3 6 9  |0 2 3 7 9 
   0.017159404445854    0  2144314213  |0 2 3 6 7  |2 3 4 6 9 
  -0.017032420306515    0  2244413311  |0 1 2 3 4  |2 3 4 6 7 
   0.017032375702814    0  3444311212  |1 2 3 7 9  |0 1 2 3 4 
  -0.017032314747927    0  3344412211  |2 3 4 6 7  |0 1 2 3 4 
   0.017032277218140    0  2444211313  |0 1 2 3 4  |1 2 3 7 9 
   0.016998442484994    0  1413231442  |1 4 7 8 9  |1 3 5 7 8 
  -0.016998341864261    0  1321443421  |2 4 5 7 8  |1 4 5 6 7 
  -0.016997685681643    0  1231442431  |1 4 5 6 7  |2 4 5 7 8 
   0.016997559768013    0  1412321443  |1 3 5 7 8  |1 4 7 8 9 
  -0.016516239190014    0  4323233122  |0 2 4 8 9  |0 1 3 5 6 
  -0.016514944152093    0  4232322133  |0 1 3 5 6  |0 2 4 8 9 
   0.016076053412322    2  4444411111  |0 1 2 3 4  |0 1 2 3 4 
  -0.015847977231920    0  2341443211  |0 2 4 5 7  |1 2 4 5 6 
   0.015847962102305    0  3414211342  |1 3 4 8 9  |0 1 3 7 8 
  -0.015846784243273    0  3241442311  |1 2 4 5 6  |0 2 4 5 7 
   0.015846646198751    0  2414311243  |0 1 3 7 8  |1 3 4 8 9 
   0.015807933665734    0  4441231114  |0 1 2 4 9  |0 1 2 5 9 
   0.015807878074010    0  4314414121  |0 3 4 6 8  |0 1 3 4 6 
  -0.015807824465373    0  4214414131  |0 1 3 4 6  |0 3 4 6 8 
  -0.015807821493539    0  4441321114  |0 1 2 5 9  |0 1 2 4 9 
  -0.015425376007818    0  4141434112  |0 2 4 6 9  |0 2 4 5 6 
   0.015425308307109    0  4414113124  |0 1 3 8 9  |0 1 3 6 9 
  -0.015425226296042    0  4414112134  |0 1 3 6 9  |0 1 3 8 9 
   0.015425153753846    0  4141424113  |0 2 4 5 6  |0 2 4 6 9 
   0.014822416446119    0  1432421431  |1 3 4 5 7  |1 2 4 7 8 
   0.014821007931345    0  1423431421  |1 2 4 7 8  |1 3 4 5 7 
  -0.014814851955746    0  4411431142  |0 1 4 8 9  |0 1 4 5 8 
   0.014814791526313    0  4411443121  |0 1 4 5 8  |0 1 4 5 6 
  -0.014814708142561    0  4411442131  |0 1 4 5 6  |0 1 4 5 8 
   0.014814633741016    0  4411421143  |0 1 4 5 8  |0 1 4 8 9 
   0.014601551335388    0  1144424311  |2 3 4 5 6  |2 3 4 6 7 
   0.014601510675057    0  1444111234  |1 2 3 7 9  |1 2 3 8 9 
  -0.014601281703743    0  1444111324  |1 2 3 8 9  |1 2 3 7 9 
