# EDGA: state=0 mode=genetic completeness=0.9900075036 n_det=11857 gen=27
   0.013159078145529  4423211332  |0 1 2 4 9  |0 1 3 7 8 
   0.013158930957847  2324423311  |0 2 3 4 5  |1 3 4 6 7 
  -0.013158888070159  3234432211  |1 3 4 6 7  |0 2 3 4 5 
  -0.013034469521203  4414111234  |0 1 3 7 9  |0 1 3 8 9 
   0.013034458426842  4414111324  |0 1 3 8 9  |0 1 3 7 9 
  -0.013034446023737  1414442311  |1 3 4 5 6  |1 3 4 5 7 
   0.013034443929036  1414443211  |1 3 4 5 7  |1 3 4 5 6 
   0.013016416167185  4423311223  |0 1 2 7 8  |0 1 3 4 9 
  -0.013016381968438  4432211332  |0 1 3 4 9  |0 1 2 7 8 
  -0.013016273924194  2234423311  |0 1 3 4 5  |2 3 4 6 7 
   0.013016253144499  3324432211  |2 3 4 6 7  |0 1 3 4 5 
  -0.013001506427162  4144114123  |0 2 3 6 8  |0 2 3 6 9 
   0.013001498606754  4144114132  |0 2 3 6 9  |0 2 3 6 8 
   0.013001486609243  1441423141  |1 2 4 5 8  |1 2 4 6 8 
  -0.013001479148922  1441432141  |1 2 4 6 8  |1 2 4 5 8 
   0.012985128576100  4422311233  |0 1 2 3 7  |0 1 4 8 9 
  -0.012985094736870  4433211322  |0 1 4 8 9  |0 1 2 3 7 
  -0.012984983959513  2334422311  |0 3 4 5 6  |1 2 3 4 7 
   0.012984963316757  3224433211  |1 2 3 4 7  |0 3 4 5 6 
  -0.012842526963774  4422311323  |0 1 2 3 8  |0 1 4 7 9 
   0.012842484261198  4433211232  |0 1 4 7 9  |0 1 2 3 8 
   0.012842322822264  2334423211  |0 3 4 5 7  |1 2 3 4 6 
  -0.012842280397264  3224432311  |1 2 3 4 6  |0 3 4 5 7 
   0.012829077608521  1442341114  |1 2 3 5 9  |1 2 4 5 9 
  -0.012829065400804  1443241114  |1 2 4 5 9  |1 2 3 5 9 
   0.012829047236195  2344141114  |0 2 3 5 9  |1 2 3 5 9 
